realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1949-07-01,13.8187
2019-12-23,2019-12-23,1949-08-01,13.9572
2019-12-23,2019-12-23,1949-09-01,14.0956
2019-12-23,2019-12-23,1949-10-01,13.5695
2019-12-23,2019-12-23,1949-11-01,13.9295
2019-12-23,2019-12-23,1949-12-01,14.1787
2019-12-23,2019-12-23,1950-01-01,14.4279
2019-12-23,2019-12-23,1950-02-01,14.4833
2019-12-23,2019-12-23,1950-03-01,14.9541
2019-12-23,2019-12-23,1950-04-01,15.4526
2019-12-23,2019-12-23,1950-05-01,15.8126
2019-12-23,2019-12-23,1950-06-01,16.2834
2019-12-23,2019-12-23,1950-07-01,16.8095
2019-12-23,2019-12-23,1950-08-01,17.3357
2019-12-23,2019-12-23,1950-09-01,17.2249
2019-12-23,2019-12-23,1950-10-01,17.3357
2019-12-23,2019-12-23,1950-11-01,17.3080
2019-12-23,2019-12-23,1950-12-01,17.6126
2019-12-23,2019-12-23,1951-01-01,17.6680
2019-12-23,2019-12-23,1951-02-01,17.7788
2019-12-23,2019-12-23,1951-03-01,17.8618
2019-12-23,2019-12-23,1951-04-01,17.8895
2019-12-23,2019-12-23,1951-05-01,17.8342
2019-12-23,2019-12-23,1951-06-01,17.7511
2019-12-23,2019-12-23,1951-07-01,17.4741
2019-12-23,2019-12-23,1951-08-01,17.3080
2019-12-23,2019-12-23,1951-09-01,17.4188
2019-12-23,2019-12-23,1951-10-01,17.3911
2019-12-23,2019-12-23,1951-11-01,17.5295
2019-12-23,2019-12-23,1951-12-01,17.6403
2019-12-23,2019-12-23,1952-01-01,17.8341
2019-12-23,2019-12-23,1952-02-01,17.9449
2019-12-23,2019-12-23,1952-03-01,18.0003
2019-12-23,2019-12-23,1952-04-01,17.8341
2019-12-23,2019-12-23,1952-05-01,17.6680
2019-12-23,2019-12-23,1952-06-01,17.5018
2019-12-23,2019-12-23,1952-07-01,17.2249
2019-12-23,2019-12-23,1952-08-01,18.3326
2019-12-23,2019-12-23,1952-09-01,18.9972
2019-12-23,2019-12-23,1952-10-01,19.1911
2019-12-23,2019-12-23,1952-11-01,19.5788
2019-12-23,2019-12-23,1952-12-01,19.6896
2019-12-23,2019-12-23,1953-01-01,19.7449
2019-12-23,2019-12-23,1953-02-01,19.8557
2019-12-23,2019-12-23,1953-03-01,20.0219
2019-12-23,2019-12-23,1953-04-01,20.1050
2019-12-23,2019-12-23,1953-05-01,20.2157
2019-12-23,2019-12-23,1953-06-01,20.1326
2019-12-23,2019-12-23,1953-07-01,20.3819
2019-12-23,2019-12-23,1953-08-01,20.2711
2019-12-23,2019-12-23,1953-09-01,19.8557
2019-12-23,2019-12-23,1953-10-01,19.6896
2019-12-23,2019-12-23,1953-11-01,19.2188
2019-12-23,2019-12-23,1953-12-01,18.7480
2019-12-23,2019-12-23,1954-01-01,18.6095
2019-12-23,2019-12-23,1954-02-01,18.6649
2019-12-23,2019-12-23,1954-03-01,18.5542
2019-12-23,2019-12-23,1954-04-01,18.4434
2019-12-23,2019-12-23,1954-05-01,18.5542
2019-12-23,2019-12-23,1954-06-01,18.6096
2019-12-23,2019-12-23,1954-07-01,18.6372
2019-12-23,2019-12-23,1954-08-01,18.6095
2019-12-23,2019-12-23,1954-09-01,18.6372
2019-12-23,2019-12-23,1954-10-01,18.8588
2019-12-23,2019-12-23,1954-11-01,19.1634
2019-12-23,2019-12-23,1954-12-01,19.4126
2019-12-23,2019-12-23,1955-01-01,19.8557
2019-12-23,2019-12-23,1955-02-01,20.1050
2019-12-23,2019-12-23,1955-03-01,20.5757
2019-12-23,2019-12-23,1955-04-01,20.8250
2019-12-23,2019-12-23,1955-05-01,21.1573
2019-12-23,2019-12-23,1955-06-01,21.1850
2019-12-23,2019-12-23,1955-07-01,21.3511
2019-12-23,2019-12-23,1955-08-01,21.3234
2019-12-23,2019-12-23,1955-09-01,21.4619
2019-12-23,2019-12-23,1955-10-01,21.8219
2019-12-23,2019-12-23,1955-11-01,21.8773
2019-12-23,2019-12-23,1955-12-01,21.9604
2019-12-23,2019-12-23,1956-01-01,22.0988
2019-12-23,2019-12-23,1956-02-01,21.9050
2019-12-23,2019-12-23,1956-03-01,21.9050
2019-12-23,2019-12-23,1956-04-01,22.0712
2019-12-23,2019-12-23,1956-05-01,21.8773
2019-12-23,2019-12-23,1956-06-01,21.6835
2019-12-23,2019-12-23,1956-07-01,21.0188
2019-12-23,2019-12-23,1956-08-01,21.8773
2019-12-23,2019-12-23,1956-09-01,22.3758
2019-12-23,2019-12-23,1956-10-01,22.5696
2019-12-23,2019-12-23,1956-11-01,22.3758
2019-12-23,2019-12-23,1956-12-01,22.7081
2019-12-23,2019-12-23,1957-01-01,22.6250
2019-12-23,2019-12-23,1957-02-01,22.8466
2019-12-23,2019-12-23,1957-03-01,22.8189
2019-12-23,2019-12-23,1957-04-01,22.5142
2019-12-23,2019-12-23,1957-05-01,22.4312
2019-12-23,2019-12-23,1957-06-01,22.4866
2019-12-23,2019-12-23,1957-07-01,22.6250
2019-12-23,2019-12-23,1957-08-01,22.6250
2019-12-23,2019-12-23,1957-09-01,22.4312
2019-12-23,2019-12-23,1957-10-01,22.0988
2019-12-23,2019-12-23,1957-11-01,21.5727
2019-12-23,2019-12-23,1957-12-01,21.1573
2019-12-23,2019-12-23,1958-01-01,20.7696
2019-12-23,2019-12-23,1958-02-01,20.3265
2019-12-23,2019-12-23,1958-03-01,20.0773
2019-12-23,2019-12-23,1958-04-01,19.7450
2019-12-23,2019-12-23,1958-05-01,19.9388
2019-12-23,2019-12-23,1958-06-01,20.4650
2019-12-23,2019-12-23,1958-07-01,20.7696
2019-12-23,2019-12-23,1958-08-01,21.1850
2019-12-23,2019-12-23,1958-09-01,21.3788
2019-12-23,2019-12-23,1958-10-01,21.6281
2019-12-23,2019-12-23,1958-11-01,22.2650
2019-12-23,2019-12-23,1958-12-01,22.2927
2019-12-23,2019-12-23,1959-01-01,22.6250
2019-12-23,2019-12-23,1959-02-01,23.0681
2019-12-23,2019-12-23,1959-03-01,23.4004
2019-12-23,2019-12-23,1959-04-01,23.8989
2019-12-23,2019-12-23,1959-05-01,24.2589
2019-12-23,2019-12-23,1959-06-01,24.2866
2019-12-23,2019-12-23,1959-07-01,23.7050
2019-12-23,2019-12-23,1959-08-01,22.9019
2019-12-23,2019-12-23,1959-09-01,22.8743
2019-12-23,2019-12-23,1959-10-01,22.7081
2019-12-23,2019-12-23,1959-11-01,22.8466
2019-12-23,2019-12-23,1959-12-01,24.2589
2019-12-23,2019-12-23,1960-01-01,24.8958
2019-12-23,2019-12-23,1960-02-01,24.6743
2019-12-23,2019-12-23,1960-03-01,24.4528
2019-12-23,2019-12-23,1960-04-01,24.2589
2019-12-23,2019-12-23,1960-05-01,24.2312
2019-12-23,2019-12-23,1960-06-01,23.9266
2019-12-23,2019-12-23,1960-07-01,23.8435
2019-12-23,2019-12-23,1960-08-01,23.8158
2019-12-23,2019-12-23,1960-09-01,23.5666
2019-12-23,2019-12-23,1960-10-01,23.5389
2019-12-23,2019-12-23,1960-11-01,23.2066
2019-12-23,2019-12-23,1960-12-01,22.7635
2019-12-23,2019-12-23,1961-01-01,22.7912
2019-12-23,2019-12-23,1961-02-01,22.7635
2019-12-23,2019-12-23,1961-03-01,22.9020
2019-12-23,2019-12-23,1961-04-01,23.3727
2019-12-23,2019-12-23,1961-05-01,23.7327
2019-12-23,2019-12-23,1961-06-01,24.0650
